i, Sin(2PIi/ArraySize)
278, 0.466387
279, 0.467930
280, 0.469472
281, 0.471012
282, 0.472551
283, 0.474088
284, 0.475624
285, 0.477159
286, 0.478692
287, 0.480224
288, 0.481754
289, 0.483282
290, 0.484810
291, 0.486335
292, 0.487860
293, 0.489382
294, 0.490904
295, 0.492424
296, 0.493942
297, 0.495459
298, 0.496974
299, 0.498488
300, 0.500000
301, 0.501511
302, 0.503020
303, 0.504528
304, 0.506034
305, 0.507538
306, 0.509041
307, 0.510543
308, 0.512043
309, 0.513541
310, 0.515038
311, 0.516533
312, 0.518027
313, 0.519519
314, 0.521010
315, 0.522499
316, 0.523986
317, 0.525472
318, 0.526956
319, 0.528438
320, 0.529919
321, 0.531399
322, 0.532876
323, 0.534352
324, 0.535827
325, 0.537300
326, 0.538771
327, 0.540240
328, 0.541708
329, 0.543174
330, 0.544639
331, 0.546102
332, 0.547563
333, 0.549023
334, 0.550481
335, 0.551937
336, 0.553392
337, 0.554844
338, 0.556296
339, 0.557745
340, 0.559193
341, 0.560639
342, 0.562083
343, 0.563526
344, 0.564967
345, 0.566406
346, 0.567844
347, 0.569280
348, 0.570714
349, 0.572146
350, 0.573576
351, 0.575005
352, 0.576432
353, 0.577858
354, 0.579281
355, 0.580703
356, 0.582123
357, 0.583541
358, 0.584958
359, 0.586372
360, 0.587785
361, 0.589196
362, 0.590606
363, 0.592013
364, 0.593419
365, 0.594823
366, 0.596225
367, 0.597625
368, 0.599024
369, 0.600420
370, 0.601815
371, 0.603208
372, 0.604599
373, 0.605988
374, 0.607376
375, 0.608761
376, 0.610145
377, 0.611527
378, 0.612907
379, 0.614285
380, 0.615662
381, 0.617036
382, 0.618408
383, 0.619779
384, 0.621148
385, 0.622515
386, 0.623880
387, 0.625243
388, 0.626604
389, 0.627963
390, 0.629320
391, 0.630676
392, 0.632029
393, 0.633381
394, 0.634731
395, 0.636078
396, 0.637424
397, 0.638768
398, 0.640110
399, 0.641450
400, 0.642788
401, 0.644124
402, 0.645458
403, 0.646790
404, 0.648120
405, 0.649448
406, 0.650774
407, 0.652098
408, 0.653421
409, 0.654741
410, 0.656059
411, 0.657375
412, 0.658689
413, 0.660002
414, 0.661312
415, 0.662620
416, 0.663926
417, 0.665230
418, 0.666532
419, 0.667833
420, 0.669131
421, 0.670427
422, 0.671721
423, 0.673012
424, 0.674302
425, 0.675590
426, 0.676876
427, 0.678160
428, 0.679441
429, 0.680721
430, 0.681998
431, 0.683274
432, 0.684547
433, 0.685818
434, 0.687088
435, 0.688355
436, 0.689620
437, 0.690882
438, 0.692143
439, 0.693402
440, 0.694658
441, 0.695913
442, 0.697165
443, 0.698415
444, 0.699663
445, 0.700909
446, 0.702153
447, 0.703395
448, 0.704634
449, 0.705872
450, 0.707107
451, 0.708340
452, 0.709571
453, 0.710799
454, 0.712026
455, 0.713250
456, 0.714473
457, 0.715693
458, 0.716911
459, 0.718126
460, 0.719340
461, 0.720551
462, 0.721760
463, 0.722967
464, 0.724172
465, 0.725374
466, 0.726575
467, 0.727773
468, 0.728969
469, 0.730162
470, 0.731354
471, 0.732543
472, 0.733730
473, 0.734915
474, 0.736097
475, 0.737277
476, 0.738455
477, 0.739631
478, 0.740805
479, 0.741976
480, 0.743145
481, 0.744312
482, 0.745476
483, 0.746638
484, 0.747798
485, 0.748956
486, 0.750111
487, 0.751264
488, 0.752415
489, 0.753563
490, 0.754710
491, 0.755853
492, 0.756995
493, 0.758134
494, 0.759271
495, 0.760406
496, 0.761538
497, 0.762668
498, 0.763796
499, 0.764921
500, 0.766044
501, 0.767165
502, 0.768284
503, 0.769400
504, 0.770513
505, 0.771625
506, 0.772734
507, 0.773840
508, 0.774944
509, 0.776046
510, 0.777146
511, 0.778243
512, 0.779338
513, 0.780430
514, 0.781520
515, 0.782608
516, 0.783693
517, 0.784776
518, 0.785857
519, 0.786935
520, 0.788011
521, 0.789084
522, 0.790155
523, 0.791224
524, 0.792290
525, 0.793353
526, 0.794415
527, 0.795473
528, 0.796530
529, 0.797584
530, 0.798635
531, 0.799685
532, 0.800731
533, 0.801776
534, 0.802817
535, 0.803857
536, 0.804894
537, 0.805928
538, 0.806960
539, 0.807990
540, 0.809017
541, 0.810042
542, 0.811064
543, 0.812084
544, 0.813101
545, 0.814116
546, 0.815128
547, 0.816138
548, 0.817145
549, 0.818150
550, 0.819152
551, 0.820152
552, 0.821149
553, 0.822144
554, 0.823136
555, 0.824126
556, 0.825113
557, 0.826098
558, 0.827081
559, 0.828060
560, 0.829038
561, 0.830012
562, 0.830984
563, 0.831954
564, 0.832921
565, 0.833886
566, 0.834848
567, 0.835807
568, 0.836764
569, 0.837719
570, 0.838671
571, 0.839620
572, 0.840567
573, 0.841511
574, 0.842452
575, 0.843391
576, 0.844328
577, 0.845262
578, 0.846193
579, 0.847122
580, 0.848048
581, 0.848972
582, 0.849893
583, 0.850811
584, 0.851727
585, 0.852640
586, 0.853551
587, 0.854459
588, 0.855364
589, 0.856267
590, 0.857167
591, 0.858065
592, 0.858960
593, 0.859852
594, 0.860742
595, 0.861629
596, 0.862514
597, 0.863396
598, 0.864275
599, 0.865151
600, 0.866025
601, 0.866897
602, 0.867765
603, 0.868632
604, 0.869495
605, 0.870356
606, 0.871214
607, 0.872069
608, 0.872922
609, 0.873772
610, 0.874620
611, 0.875464
612, 0.876307
613, 0.877146
614, 0.877983
615, 0.878817
616, 0.879649
617, 0.880477
618, 0.881303
619, 0.882127
620, 0.882948
621, 0.883766
622, 0.884581
623, 0.885394
624, 0.886204
625, 0.887011
626, 0.887815
627, 0.888617
628, 0.889416
629, 0.890213
630, 0.891007
631, 0.891798
632, 0.892586
633, 0.893371
634, 0.894154
635, 0.894934
636, 0.895712
637, 0.896486
638, 0.897258
639, 0.898028
640, 0.898794
641, 0.899558
642, 0.900319
643, 0.901077
644, 0.901833
645, 0.902585
646, 0.903335
647, 0.904083
648, 0.904827
649, 0.905569
650, 0.906308
651, 0.907044
652, 0.907777
653, 0.908508
654, 0.909236
655, 0.909961
656, 0.910684
657, 0.911403
658, 0.912120
659, 0.912834
660, 0.913545
661, 0.914254
662, 0.914960
663, 0.915663
664, 0.916363
665, 0.917060
666, 0.917755
667, 0.918446
668, 0.919135
669, 0.919822
670, 0.920505
671, 0.921185
672, 0.921863
673, 0.922538
674, 0.923210
675, 0.923880
676, 0.924546
677, 0.925210
678, 0.925871
679, 0.926529
680, 0.927184
681, 0.927836
682, 0.928486
683, 0.929133
684, 0.929776
685, 0.930418
686, 0.931056
687, 0.931691
688, 0.932324
689, 0.932954
690, 0.933580
691, 0.934204
692, 0.934826
693, 0.935444
694, 0.936060
695, 0.936672
696, 0.937282
697, 0.937889
698, 0.938493
699, 0.939094
700, 0.939693
701, 0.940288
702, 0.940881
703, 0.941471
704, 0.942057
705, 0.942641
706, 0.943223
707, 0.943801
708, 0.944376
709, 0.944949
710, 0.945519
711, 0.946085
712, 0.946649
713, 0.947210
714, 0.947768
715, 0.948324
716, 0.948876
717, 0.949425
718, 0.949972
719, 0.950516
720, 0.951057
721, 0.951594
722, 0.952129
723, 0.952661
724, 0.953191
725, 0.953717
726, 0.954240
727, 0.954761
728, 0.955278
729, 0.955793
730, 0.956305
731, 0.956814
732, 0.957319
733, 0.957823
734, 0.958323
735, 0.958820
736, 0.959314
737, 0.959805
738, 0.960294
739, 0.960779
740, 0.961262
741, 0.961741
742, 0.962218
743, 0.962692
744, 0.963163
745, 0.963630
746, 0.964095
747, 0.964557
748, 0.965016
749, 0.965473
750, 0.965926
751, 0.966376
752, 0.966823
753, 0.967268
754, 0.967709
755, 0.968148
756, 0.968583
757, 0.969016
758, 0.969445
759, 0.969872
760, 0.970296
761, 0.970716
762, 0.971134
763, 0.971549
764, 0.971961
765, 0.972370
766, 0.972776
767, 0.973179
768, 0.973579
769, 0.973976
770, 0.974370
771, 0.974761
772, 0.975149
773, 0.975535
774, 0.975917
775, 0.976296
776, 0.976672
777, 0.977046
778, 0.977416
779, 0.977783
780, 0.978148
781, 0.978509
782, 0.978867
783, 0.979223
784, 0.979575
785, 0.979925
786, 0.980271
787, 0.980615
788, 0.980955
789, 0.981293
790, 0.981627
791, 0.981959
792, 0.982287
793, 0.982613
794, 0.982935
795, 0.983255
796, 0.983571
797, 0.983885
798, 0.984196
799, 0.984503
800, 0.984808
801, 0.985109
802, 0.985408
803, 0.985703
804, 0.985996
805, 0.986286
806, 0.986572
807, 0.986856
808, 0.987136
809, 0.987414
810, 0.987688
811, 0.987960
812, 0.988228
813, 0.988494
814, 0.988756
815, 0.989016
816, 0.989272
817, 0.989526
818, 0.989776
819, 0.990024
820, 0.990268
821, 0.990509
822, 0.990748
823, 0.990983
824, 0.991216
825, 0.991445
826, 0.991671
827, 0.991894
828, 0.992115
829, 0.992332
830, 0.992546
831, 0.992757
832, 0.992966
833, 0.993171
834, 0.993373
835, 0.993572
836, 0.993768
837, 0.993961
838, 0.994151
839, 0.994338
840, 0.994522
841, 0.994703
842, 0.994881
843, 0.995056
844, 0.995227
845, 0.995396
846, 0.995562
847, 0.995725
848, 0.995884
849, 0.996041
850, 0.996195
851, 0.996345
852, 0.996493
853, 0.996637
854, 0.996779
855, 0.996917
856, 0.997053
857, 0.997185
858, 0.997314
859, 0.997441
860, 0.997564
861, 0.997684
862, 0.997801
863, 0.997916
864, 0.998027
865, 0.998135
866, 0.998240
867, 0.998342
868, 0.998441
869, 0.998537
870, 0.998630
871, 0.998719
872, 0.998806
873, 0.998890
874, 0.998971
875, 0.999048
876, 0.999123
877, 0.999194
878, 0.999263
879, 0.999328
880, 0.999391
881, 0.999450
882, 0.999507
883, 0.999560
884, 0.999610
885, 0.999657
886, 0.999701
887, 0.999743
888, 0.999781
889, 0.999816
890, 0.999848
891, 0.999877
892, 0.999903
893, 0.999925
894, 0.999945
895, 0.999962
896, 0.999976
897, 0.999986
898, 0.999994
899, 0.999998
900, 1.000000
901, 0.999998
902, 0.999994
903, 0.999986
904, 0.999976
905, 0.999962
906, 0.999945
907, 0.999925
908, 0.999903
909, 0.999877
910, 0.999848
911, 0.999816
912, 0.999781
913, 0.999743
914, 0.999701
915, 0.999657
916, 0.999610
917, 0.999560
918, 0.999507
919, 0.999450
920, 0.999391
921, 0.999328
922, 0.999263
923, 0.999194
924, 0.999123
925, 0.999048
926, 0.998971
927, 0.998890
928, 0.998806
929, 0.998719
930, 0.998630
931, 0.998537
932, 0.998441
933, 0.998342
934, 0.998240
935, 0.998135
936, 0.998027
937, 0.997916
938, 0.997801
939, 0.997684
940, 0.997564
941, 0.997441
942, 0.997314
943, 0.997185
944, 0.997053
945, 0.996917
946, 0.996779
947, 0.996637
948, 0.996493
949, 0.996345
950, 0.996195
951, 0.996041
952, 0.995884
953, 0.995725
954, 0.995562
955, 0.995396
956, 0.995227
957, 0.995056
958, 0.994881
959, 0.994703
960, 0.994522
961, 0.994338
962, 0.994151
963, 0.993961
964, 0.993768
965, 0.993572
966, 0.993373
967, 0.993171
968, 0.992966
969, 0.992757
970, 0.992546
971, 0.992332
972, 0.992115
973, 0.991894
974, 0.991671
975, 0.991445
976, 0.991216
977, 0.990983
978, 0.990748
979, 0.990509
980, 0.990268
981, 0.990024
982, 0.989776
983, 0.989526
984, 0.989272
985, 0.989016
986, 0.988756
987, 0.988494
988, 0.988228
989, 0.987960
990, 0.987688
991, 0.987414
992, 0.987136
993, 0.986856
994, 0.986572
995, 0.986286
996, 0.985996
997, 0.985703
998, 0.985408
999, 0.985109
1000, 0.984808
1001, 0.984503
1002, 0.984196
1003, 0.983885
1004, 0.983571
1005, 0.983255
1006, 0.982935
1007, 0.982613
1008, 0.982287
1009, 0.981959
1010, 0.981627
1011, 0.981293
1012, 0.980955
1013, 0.980615
1014, 0.980271
1015, 0.979925
1016, 0.979575
1017, 0.979223
1018, 0.978867
1019, 0.978509
1020, 0.978148
1021, 0.977783
1022, 0.977416
1023, 0.977046
1024, 0.976672
1025, 0.976296
1026, 0.975917
1027, 0.975535
1028, 0.975149
1029, 0.974761
1030, 0.974370
1031, 0.973976
1032, 0.973579
1033, 0.973179
1034, 0.972776
1035, 0.972370
1036, 0.971961
1037, 0.971549
1038, 0.971134
1039, 0.970716
1040, 0.970296
1041, 0.969872
1042, 0.969445
1043, 0.969016
1044, 0.968583
1045, 0.968148
1046, 0.967709
1047, 0.967268
1048, 0.966823
1049, 0.966376
1050, 0.965926
1051, 0.965473
1052, 0.965016
1053, 0.964557
1054, 0.964095
1055, 0.963630
1056, 0.963163
1057, 0.962692
1058, 0.962218
1059, 0.961741
1060, 0.961262
1061, 0.960779
1062, 0.960294
1063, 0.959805
1064, 0.959314
1065, 0.958820
1066, 0.958323
1067, 0.957823
1068, 0.957319
1069, 0.956814
1070, 0.956305
1071, 0.955793
1072, 0.955278
1073, 0.954761
1074, 0.954240
1075, 0.953717
1076, 0.953191
1077, 0.952661
1078, 0.952129
1079, 0.951594
1080, 0.951057
1081, 0.950516
1082, 0.949972
1083, 0.949425
1084, 0.948876
1085, 0.948324
1086, 0.947768
1087, 0.947210
1088, 0.946649
1089, 0.946085
1090, 0.945519
1091, 0.944949
1092, 0.944376
1093, 0.943801
1094, 0.943223
1095, 0.942641
1096, 0.942057
1097, 0.941471
1098, 0.940881
1099, 0.940288
1100, 0.939693
1101, 0.939094
1102, 0.938493
1103, 0.937889
1104, 0.937282
1105, 0.936672
1106, 0.936060
1107, 0.935444
1108, 0.934826
1109, 0.934204
1110, 0.933580
1111, 0.932954
1112, 0.932324
1113, 0.931691
1114, 0.931056
1115, 0.930418
1116, 0.929776
1117, 0.929133
1118, 0.928486
1119, 0.927836
1120, 0.927184
1121, 0.926529
1122, 0.925871
1123, 0.925210
1124, 0.924546
1125, 0.923880
1126, 0.923210
1127, 0.922538
1128, 0.921863
1129, 0.921185
1130, 0.920505
1131, 0.919822
1132, 0.919135
1133, 0.918446
1134, 0.917755
1135, 0.917060
1136, 0.916363
1137, 0.915663
1138, 0.914960
1139, 0.914254
1140, 0.913545
1141, 0.912834
1142, 0.912120
1143, 0.911403
1144, 0.910684
1145, 0.909961
1146, 0.909236
1147, 0.908508
1148, 0.907777
1149, 0.907044
1150, 0.906308
1151, 0.905569
1152, 0.904827
1153, 0.904083
1154, 0.903335
1155, 0.902585
1156, 0.901833
1157, 0.901077
1158, 0.900319
1159, 0.899558
1160, 0.898794
1161, 0.898028
1162, 0.897258
1163, 0.896486
1164, 0.895712
1165, 0.894934
1166, 0.894154
1167, 0.893371
1168, 0.892586
1169, 0.891798
1170, 0.891007
1171, 0.890213
1172, 0.889416
1173, 0.888617
1174, 0.887815
1175, 0.887011
1176, 0.886204
1177, 0.885394
1178, 0.884581
1179, 0.883766
1180, 0.882948
1181, 0.882127
1182, 0.881303
1183, 0.880477
1184, 0.879649
1185, 0.878817
1186, 0.877983
1187, 0.877146
1188, 0.876307
1189, 0.875464
1190, 0.874620
1191, 0.873772
1192, 0.872922
1193, 0.872069
1194, 0.871214
1195, 0.870356
1196, 0.869495
1197, 0.868632
1198, 0.867765
1199, 0.866897
1200, 0.866025
1201, 0.865151
1202, 0.864275
1203, 0.863396
1204, 0.862514
1205, 0.861629
1206, 0.860742
1207, 0.859852
1208, 0.858960
1209, 0.858065
1210, 0.857167
1211, 0.856267
1212, 0.855364
1213, 0.854459
1214, 0.853551
1215, 0.852640
1216, 0.851727
1217, 0.850811
1218, 0.849893
1219, 0.848972
1220, 0.848048
1221, 0.847122
1222, 0.846193
1223, 0.845262
1224, 0.844328
1225, 0.843391
1226, 0.842452
1227, 0.841511
1228, 0.840567
1229, 0.839620
1230, 0.838671
1231, 0.837719
1232, 0.836764
1233, 0.835807
1234, 0.834848
1235, 0.833886
1236, 0.832921
1237, 0.831954
1238, 0.830984
1239, 0.830012
1240, 0.829038
1241, 0.828060
1242, 0.827081
1243, 0.826098
1244, 0.825113
1245, 0.824126
1246, 0.823136
1247, 0.822144
1248, 0.821149
1249, 0.820152
1250, 0.819152
1251, 0.818150
1252, 0.817145
1253, 0.816138
1254, 0.815128
1255, 0.814116
1256, 0.813101
1257, 0.812084
1258, 0.811064
1259, 0.810042
1260, 0.809017
1261, 0.807990
1262, 0.806960
1263, 0.805928
1264, 0.804894
1265, 0.803857
1266, 0.802817
1267, 0.801776
1268, 0.800731
1269, 0.799685
1270, 0.798635
1271, 0.797584
1272, 0.796530
1273, 0.795473
1274, 0.794415
1275, 0.793353
1276, 0.792290
1277, 0.791224
1278, 0.790155
1279, 0.789084
1280, 0.788011
1281, 0.786935
1282, 0.785857
1283, 0.784776
1284, 0.783693
1285, 0.782608
1286, 0.781520
1287, 0.780430
1288, 0.779338
1289, 0.778243
1290, 0.777146
1291, 0.776046
1292, 0.774944
1293, 0.773840
1294, 0.772734
1295, 0.771625
1296, 0.770513
1297, 0.769400
1298, 0.768284
1299, 0.767165
1300, 0.766044
1301, 0.764921
1302, 0.763796
1303, 0.762668
1304, 0.761538
1305, 0.760406
1306, 0.759271
1307, 0.758134
1308, 0.756995
1309, 0.755853
1310, 0.754710
1311, 0.753563
1312, 0.752415
1313, 0.751264
1314, 0.750111
1315, 0.748956
1316, 0.747798
1317, 0.746638
1318, 0.745476
1319, 0.744312
1320, 0.743145
1321, 0.741976
1322, 0.740805
1323, 0.739631
1324, 0.738455
1325, 0.737277
1326, 0.736097
1327, 0.734915
1328, 0.733730
1329, 0.732543
1330, 0.731354
1331, 0.730162
1332, 0.728969
1333, 0.727773
1334, 0.726575
1335, 0.725374
1336, 0.724172
1337, 0.722967
1338, 0.721760
1339, 0.720551
1340, 0.719340
1341, 0.718126
1342, 0.716911
1343, 0.715693
1344, 0.714473
1345, 0.713250
1346, 0.712026
1347, 0.710799
1348, 0.709571
1349, 0.708340
1350, 0.707107
1351, 0.705872
1352, 0.704634
1353, 0.703395
1354, 0.702153
1355, 0.700909
1356, 0.699663
1357, 0.698415
1358, 0.697165
1359, 0.695913
1360, 0.694658
1361, 0.693402
1362, 0.692143
1363, 0.690882
1364, 0.689620
1365, 0.688355
1366, 0.687088
1367, 0.685818
1368, 0.684547
1369, 0.683274
1370, 0.681998
1371, 0.680721
1372, 0.679441
1373, 0.678160
1374, 0.676876
1375, 0.675590
1376, 0.674302
1377, 0.673012
1378, 0.671721
1379, 0.670427
1380, 0.669131
1381, 0.667833
1382, 0.666532
1383, 0.665230
1384, 0.663926
1385, 0.662620
1386, 0.661312
1387, 0.660002
1388, 0.658689
1389, 0.657375
1390, 0.656059
1391, 0.654741
1392, 0.653421
1393, 0.652098
1394, 0.650774
1395, 0.649448
1396, 0.648120
1397, 0.646790
1398, 0.645458
1399, 0.644124
1400, 0.642788
1401, 0.641450
1402, 0.640110
1403, 0.638768
1404, 0.637424
1405, 0.636078
1406, 0.634731
1407, 0.633381
1408, 0.632029
1409, 0.630676
1410, 0.629320
1411, 0.627963
1412, 0.626604
1413, 0.625243
1414, 0.623880
1415, 0.622515
1416, 0.621148
1417, 0.619779
1418, 0.618408
1419, 0.617036
1420, 0.615662
1421, 0.614285
1422, 0.612907
1423, 0.611527
1424, 0.610145
1425, 0.608761
1426, 0.607376
1427, 0.605988
1428, 0.604599
1429, 0.603208
1430, 0.601815
1431, 0.600420
1432, 0.599024
1433, 0.597625
1434, 0.596225
1435, 0.594823
1436, 0.593419
1437, 0.592013
1438, 0.590606
1439, 0.589196
1440, 0.587785
1441, 0.586372
1442, 0.584958
1443, 0.583541
1444, 0.582123
1445, 0.580703
1446, 0.579281
1447, 0.577858
1448, 0.576432
1449, 0.575005
1450, 0.573576
1451, 0.572146
1452, 0.570714
1453, 0.569280
1454, 0.567844
1455, 0.566406
1456, 0.564967
1457, 0.563526
1458, 0.562083
1459, 0.560639
1460, 0.559193
1461, 0.557745
1462, 0.556296
1463, 0.554844
1464, 0.553392
1465, 0.551937
1466, 0.550481
1467, 0.549023
1468, 0.547563
1469, 0.546102
1470, 0.544639
1471, 0.543174
1472, 0.541708
1473, 0.540240
1474, 0.538771
1475, 0.537300
1476, 0.535827
1477, 0.534352
1478, 0.532876
1479, 0.531399
1480, 0.529919
1481, 0.528438
1482, 0.526956
1483, 0.525472
1484, 0.523986
1485, 0.522499
1486, 0.521010
1487, 0.519519
1488, 0.518027
1489, 0.516533
1490, 0.515038
1491, 0.513541
1492, 0.512043
1493, 0.510543
1494, 0.509041
1495, 0.507538
1496, 0.506034
1497, 0.504528
1498, 0.503020
1499, 0.501511
1500, 0.500000
1501, 0.498488
1502, 0.496974
1503, 0.495459
1504, 0.493942
1505, 0.492424
1506, 0.490904
1507, 0.489382
1508, 0.487860
1509, 0.486335
1510, 0.484810
1511, 0.483282
1512, 0.481754
1513, 0.480224
1514, 0.478692
1515, 0.477159
1516, 0.475624
1517, 0.474088
1518, 0.472551
1519, 0.471012
1520, 0.469472
1521, 0.467930
1522, 0.466387
1523, 0.464842
1524, 0.463296
1525, 0.461749
1526, 0.460200
1527, 0.458650
1528, 0.457098
1529, 0.455545
1530, 0.453990
1531, 0.452435
1532, 0.450878
1533, 0.449319
1534, 0.447759
1535, 0.446198
1536, 0.444635
1537, 0.443071
1538, 0.441506
1539, 0.439939
1540, 0.438371
1541, 0.436802
1542, 0.435231
1543, 0.433659
1544, 0.432086
1545, 0.430511
1546, 0.428935
1547, 0.427358
1548, 0.425779
1549, 0.424199
1550, 0.422618
1551, 0.421036
1552, 0.419452
1553, 0.417867
1554, 0.416281
1555, 0.414693
1556, 0.413104
1557, 0.411514
1558, 0.409923
1559, 0.408330
1560, 0.406737
1561, 0.405142
1562, 0.403545
1563, 0.401948
1564, 0.400349
1565, 0.398749
1566, 0.397148
1567, 0.395546
1568, 0.393942
1569, 0.392337
1570, 0.390731
1571, 0.389124
1572, 0.387516
1573, 0.385906
1574, 0.384295
1575, 0.382683
1576, 0.381070
1577, 0.379456
1578, 0.377841
1579, 0.376224
1580, 0.374607
1581, 0.372988
1582, 0.371368
1583, 0.369747
1584, 0.368125
1585, 0.366501
1586, 0.364877
1587, 0.363251
1588, 0.361625
1589, 0.359997
1590, 0.358368
1591, 0.356738
1592, 0.355107
1593, 0.353475
1594, 0.351842
1595, 0.350207
1596, 0.348572
1597, 0.346936
1598, 0.345298
1599, 0.343660
1600, 0.342020
1601, 0.340380
1602, 0.338738
1603, 0.337095
1604, 0.335452
1605, 0.333807
1606, 0.332161
1607, 0.330514
1608, 0.328867
1609, 0.327218
1610, 0.325568
1611, 0.323917
1612, 0.322266
1613, 0.320613
1614, 0.318959
1615, 0.317305
1616, 0.315649
1617, 0.313992
1618, 0.312335
1619, 0.310676
1620, 0.309017
1621, 0.307357
1622, 0.305695
1623, 0.304033
1624, 0.302370
1625, 0.300706
1626, 0.299041
1627, 0.297375
1628, 0.295708
1629, 0.294040
1630, 0.292372
1631, 0.290702
1632, 0.289032
1633, 0.287361
1634, 0.285688
1635, 0.284015
1636, 0.282341
1637, 0.280667
1638, 0.278991
1639, 0.277315
1640, 0.275637
1641, 0.273959
1642, 0.272280
1643, 0.270600
1644, 0.268920
1645, 0.267238
1646, 0.265556
1647, 0.263873
1648, 0.262189
1649, 0.260505
1650, 0.258819
1651, 0.257133
1652, 0.255446
1653, 0.253758
1654, 0.252069
1655, 0.250380
1656, 0.248690
1657, 0.246999
1658, 0.245307
1659, 0.243615
1660, 0.241922
1661, 0.240228
