Theta, USetpoint, VSetpoint, WSetpoint
1235 3330 1469 3203
1236 3330 1469 3200
1237 3331 1468 3197
1238 3332 1467 3194
1239 3333 1466 3191
1240 3334 1465 3189
1241 3334 1465 3186
1242 3335 1464 3183
1243 3336 1463 3180
1244 3337 1462 3177
1245 3337 1462 3174
1246 3338 1461 3172
1247 3339 1460 3169
1248 3340 1459 3166
1249 3341 1458 3163
1250 3341 1458 3160
1251 3342 1457 3157
1252 3343 1456 3155
1253 3344 1455 3152
1254 3344 1455 3149
1255 3345 1454 3146
1256 3346 1453 3143
1257 3347 1452 3140
1258 3347 1452 3137
1259 3348 1451 3134
1260 3349 1450 3132
1261 3350 1449 3129
1262 3350 1449 3126
1263 3351 1448 3123
1264 3352 1447 3120
1265 3353 1446 3117
1266 3353 1446 3114
1267 3354 1445 3111
1268 3355 1444 3109
1269 3355 1444 3106
1270 3356 1443 3103
1271 3357 1442 3100
1272 3358 1441 3097
1273 3358 1441 3094
1274 3359 1440 3091
1275 3360 1439 3088
1276 3360 1439 3085
1277 3361 1438 3083
1278 3362 1437 3080
1279 3362 1437 3077
1280 3363 1436 3074
1281 3364 1435 3071
1282 3364 1435 3068
1283 3365 1434 3065
1284 3366 1433 3062
1285 3366 1433 3059
1286 3367 1432 3056
1287 3368 1431 3053
1288 3368 1431 3050
1289 3369 1430 3047
1290 3370 1429 3045
1291 3370 1429 3042
1292 3371 1428 3039
1293 3372 1427 3036
1294 3372 1427 3033
1295 3373 1426 3030
1296 3374 1425 3027
1297 3374 1425 3024
1298 3375 1424 3021
1299 3375 1424 3018
1300 3376 1423 3015
1301 3377 1422 3012
1302 3377 1422 3009
1303 3378 1421 3006
1304 3379 1420 3003
1305 3379 1420 3000
1306 3380 1419 2997
1307 3380 1419 2994
1308 3381 1418 2991
1309 3382 1417 2988
1310 3382 1417 2986
1311 3383 1416 2983
1312 3383 1416 2980
1313 3384 1415 2977
1314 3384 1415 2974
1315 3385 1414 2971
1316 3386 1413 2968
1317 3386 1413 2965
1318 3387 1412 2962
1319 3387 1412 2959
1320 3388 1411 2956
1321 3388 1411 2953
1322 3389 1410 2950
1323 3390 1409 2947
1324 3390 1409 2944
1325 3391 1408 2941
1326 3391 1408 2938
1327 3392 1407 2935
1328 3392 1407 2932
1329 3393 1406 2929
1330 3393 1406 2926
1331 3394 1405 2923
1332 3394 1405 2920
1333 3395 1404 2917
1334 3395 1404 2914
1335 3396 1403 2911
1336 3396 1403 2908
1337 3397 1402 2905
1338 3397 1402 2902
1339 3398 1401 2899
1340 3398 1401 2896
1341 3399 1400 2893
1342 3399 1400 2890
1343 3400 1399 2887
1344 3400 1399 2884
1345 3401 1398 2881
1346 3401 1398 2878
1347 3402 1397 2874
1348 3402 1397 2871
1349 3403 1396 2868
1350 3403 1396 2865
1351 3404 1395 2862
1352 3404 1395 2859
1353 3405 1394 2856
1354 3405 1394 2853
1355 3406 1393 2850
1356 3406 1393 2847
1357 3407 1392 2844
1358 3407 1392 2841
1359 3407 1392 2838
1360 3408 1391 2835
1361 3408 1391 2832
1362 3409 1390 2829
1363 3409 1390 2826
1364 3410 1389 2823
1365 3410 1389 2820
1366 3410 1389 2817
1367 3411 1388 2814
1368 3411 1388 2811
1369 3412 1387 2807
1370 3412 1387 2804
1371 3413 1386 2801
1372 3413 1386 2798
1373 3413 1386 2795
1374 3414 1385 2792
1375 3414 1385 2789
1376 3414 1385 2786
1377 3415 1384 2783
1378 3415 1384 2780
1379 3416 1383 2777
1380 3416 1383 2774
1381 3416 1383 2771
1382 3417 1382 2768
1383 3417 1382 2765
1384 3418 1381 2761
1385 3418 1381 2758
1386 3418 1381 2755
1387 3419 1380 2752
1388 3419 1380 2749
1389 3419 1380 2746
1390 3420 1379 2743
1391 3420 1379 2740
1392 3420 1379 2737
1393 3421 1378 2734
1394 3421 1378 2731
1395 3421 1378 2728
1396 3422 1377 2724
1397 3422 1377 2721
1398 3422 1377 2718
1399 3423 1376 2715
1400 3423 1376 2712
1401 3423 1376 2709
1402 3424 1375 2706
1403 3424 1375 2703
1404 3424 1375 2700
1405 3424 1375 2697
1406 3425 1374 2693
1407 3425 1374 2690
1408 3425 1374 2687
1409 3426 1373 2684
1410 3426 1373 2681
1411 3426 1373 2678
1412 3426 1373 2675
1413 3427 1372 2672
1414 3427 1372 2669
1415 3427 1372 2666
1416 3428 1371 2662
1417 3428 1371 2659
1418 3428 1371 2656
1419 3428 1371 2653
1420 3429 1370 2650
1421 3429 1370 2647
1422 3429 1370 2644
1423 3429 1370 2641
1424 3430 1369 2638
1425 3430 1369 2634
1426 3430 1369 2631
1427 3430 1369 2628
1428 3431 1368 2625
1429 3431 1368 2622
1430 3431 1368 2619
1431 3431 1368 2616
1432 3431 1368 2613
1433 3432 1367 2610
1434 3432 1367 2606
1435 3432 1367 2603
1436 3432 1367 2600
1437 3432 1367 2597
1438 3433 1366 2594
1439 3433 1366 2591
1440 3433 1366 2588
1441 3433 1366 2585
1442 3433 1366 2581
1443 3434 1365 2578
1444 3434 1365 2575
1445 3434 1365 2572
1446 3434 1365 2569
1447 3434 1365 2566
1448 3434 1365 2563
1449 3435 1364 2560
1450 3435 1364 2556
1451 3435 1364 2553
1452 3435 1364 2550
1453 3435 1364 2547
1454 3435 1364 2544
1455 3436 1363 2541
1456 3436 1363 2538
1457 3436 1363 2534
1458 3436 1363 2531
1459 3436 1363 2528
1460 3436 1363 2525
1461 3436 1363 2522
1462 3436 1363 2519
1463 3437 1362 2516
1464 3437 1362 2513
1465 3437 1362 2509
1466 3437 1362 2506
1467 3437 1362 2503
1468 3437 1362 2500
1469 3437 1362 2497
1470 3437 1362 2494
1471 3437 1362 2491
1472 3437 1362 2487
1473 3438 1361 2484
1474 3438 1361 2481
1475 3438 1361 2478
1476 3438 1361 2475
1477 3438 1361 2472
1478 3438 1361 2469
1479 3438 1361 2465
1480 3438 1361 2462
1481 3438 1361 2459
1482 3438 1361 2456
1483 3438 1361 2453
1484 3438 1361 2450
1485 3438 1361 2447
1486 3438 1361 2443
1487 3438 1361 2440
1488 3439 1360 2437
1489 3439 1360 2434
1490 3439 1360 2431
1491 3439 1360 2428
1492 3439 1360 2425
1493 3439 1360 2421
1494 3439 1360 2418
1495 3439 1360 2415
1496 3439 1360 2412
1497 3439 1360 2409
1498 3439 1360 2406
1499 3439 1360 2403
1500 3439 1360 2400
1501 3439 1360 2396
1502 3439 1360 2393
1503 3439 1360 2390
1504 3439 1360 2387
1505 3439 1360 2384
1506 3439 1360 2381
1507 3439 1360 2378
1508 3439 1360 2374
1509 3439 1360 2371
1510 3439 1360 2368
1511 3439 1360 2365
1512 3439 1360 2362
1513 3438 1361 2359
1514 3438 1361 2356
1515 3438 1361 2352
1516 3438 1361 2349
1517 3438 1361 2346
1518 3438 1361 2343
1519 3438 1361 2340
1520 3438 1361 2337
1521 3438 1361 2334
1522 3438 1361 2330
1523 3438 1361 2327
1524 3438 1361 2324
1525 3438 1361 2321
1526 3438 1361 2318
1527 3438 1361 2315
1528 3437 1362 2312
1529 3437 1362 2308
1530 3437 1362 2305
1531 3437 1362 2302
1532 3437 1362 2299
1533 3437 1362 2296
1534 3437 1362 2293
1535 3437 1362 2290
1536 3437 1362 2286
1537 3437 1362 2283
1538 3436 1363 2280
1539 3436 1363 2277
1540 3436 1363 2274
1541 3436 1363 2271
1542 3436 1363 2268
1543 3436 1363 2265
1544 3436 1363 2261
1545 3436 1363 2258
1546 3435 1364 2255
1547 3435 1364 2252
1548 3435 1364 2249
1549 3435 1364 2246
1550 3435 1364 2243
1551 3435 1364 2239
1552 3434 1365 2236
1553 3434 1365 2233
1554 3434 1365 2230
1555 3434 1365 2227
1556 3434 1365 2224
1557 3434 1365 2221
1558 3433 1366 2218
1559 3433 1366 2214
1560 3433 1366 2211
1561 3433 1366 2208
1562 3433 1366 2205
1563 3432 1367 2202
1564 3432 1367 2199
1565 3432 1367 2196
1566 3432 1367 2193
1567 3432 1367 2189
1568 3431 1368 2186
1569 3431 1368 2183
1570 3431 1368 2180
1571 3431 1368 2177
1572 3431 1368 2174
1573 3430 1369 2171
1574 3430 1369 2168
1575 3430 1369 2165
1576 3430 1369 2161
1577 3429 1370 2158
1578 3429 1370 2155
1579 3429 1370 2152
1580 3429 1370 2149
1581 3428 1371 2146
1582 3428 1371 2143
1583 3428 1371 2140
1584 3428 1371 2137
1585 3427 1372 2133
1586 3427 1372 2130
1587 3427 1372 2127
1588 3426 1373 2124
1589 3426 1373 2121
1590 3426 1373 2118
1591 3426 1373 2115
1592 3425 1374 2112
1593 3425 1374 2109
1594 3425 1374 2106
1595 3424 1375 2102
1596 3424 1375 2099
1597 3424 1375 2096
1598 3424 1375 2093
1599 3423 1376 2090
1600 3423 1376 2087
1601 3423 1376 2084
1602 3422 1377 2081
1603 3422 1377 2078
1604 3422 1377 2075
1605 3421 1378 2071
1606 3421 1378 2068
1607 3421 1378 2065
1608 3420 1379 2062
1609 3420 1379 2059
1610 3420 1379 2056
1611 3419 1380 2053
1612 3419 1380 2050
1613 3419 1380 2047
1614 3418 1381 2044
1615 3418 1381 2041
1616 3418 1381 2038
1617 3417 1382 2034
1618 3417 1382 2031
1619 3416 1383 2028
1620 3416 1383 2025
1621 3416 1383 2022
1622 3415 1384 2019
1623 3415 1384 2016
1624 3414 1385 2013
1625 3414 1385 2010
1626 3414 1385 2007
1627 3413 1386 2004
1628 3413 1386 2001
1629 3413 1386 1998
1630 3412 1387 1995
1631 3412 1387 1992
1632 3411 1388 1988
1633 3411 1388 1985
1634 3410 1389 1982
1635 3410 1389 1979
1636 3410 1389 1976
1637 3409 1390 1973
1638 3409 1390 1970
1639 3408 1391 1967
1640 3408 1391 1964
1641 3407 1392 1961
1642 3407 1392 1958
1643 3407 1392 1955
1644 3406 1393 1952
1645 3406 1393 1949
1646 3405 1394 1946
1647 3405 1394 1943
1648 3404 1395 1940
1649 3404 1395 1937
1650 3403 1396 1934
1651 3403 1396 1931
1652 3402 1397 1928
1653 3402 1397 1925
1654 3401 1398 1922
1655 3401 1398 1918
1656 3400 1399 1915
1657 3400 1399 1912
1658 3399 1400 1909
1659 3399 1400 1906
1660 3398 1401 1903
1661 3398 1401 1900
1662 3397 1402 1897
1663 3397 1402 1894
1664 3396 1403 1891
1665 3396 1403 1888
1666 3395 1404 1885
1667 3395 1404 1882
1668 3394 1405 1879
1669 3394 1405 1876
1670 3393 1406 1873
1671 3393 1406 1870
1672 3392 1407 1867
1673 3392 1407 1864
1674 3391 1408 1861
1675 3391 1408 1858
1676 3390 1409 1855
1677 3390 1409 1852
1678 3389 1410 1849
1679 3388 1411 1846
1680 3388 1411 1843
1681 3387 1412 1840
1682 3387 1412 1837
1683 3386 1413 1834
1684 3386 1413 1831
1685 3385 1414 1828
1686 3384 1415 1825
1687 3384 1415 1822
1688 3383 1416 1819
1689 3383 1416 1816
1690 3382 1417 1813
1691 3382 1417 1811
1692 3381 1418 1808
1693 3380 1419 1805
1694 3380 1419 1802
1695 3379 1420 1799
1696 3379 1420 1796
1697 3378 1421 1793
1698 3377 1422 1790
1699 3377 1422 1787
1700 3376 1423 1784
1701 3375 1424 1781
1702 3375 1424 1778
1703 3374 1425 1775
1704 3374 1425 1772
1705 3373 1426 1769
1706 3372 1427 1766
1707 3372 1427 1763
1708 3371 1428 1760
1709 3370 1429 1757
1710 3370 1429 1754
1711 3369 1430 1752
1712 3368 1431 1749
1713 3368 1431 1746
1714 3367 1432 1743
1715 3366 1433 1740
1716 3366 1433 1737
1717 3365 1434 1734
1718 3364 1435 1731
1719 3364 1435 1728
1720 3363 1436 1725
1721 3362 1437 1722
1722 3362 1437 1719
1723 3361 1438 1716
1724 3360 1439 1714
1725 3360 1439 1711
1726 3359 1440 1708
1727 3358 1441 1705
1728 3358 1441 1702
1729 3357 1442 1699
1730 3356 1443 1696
1731 3355 1444 1693
1732 3355 1444 1690
1733 3354 1445 1688
1734 3353 1446 1685
1735 3353 1446 1682
1736 3352 1447 1679
1737 3351 1448 1676
1738 3350 1449 1673
1739 3350 1449 1670
1740 3349 1450 1667
1741 3348 1451 1665
1742 3347 1452 1662
1743 3347 1452 1659
1744 3346 1453 1656
1745 3345 1454 1653
1746 3344 1455 1650
1747 3344 1455 1647
1748 3343 1456 1644
1749 3342 1457 1642
1750 3341 1458 1639
1751 3341 1458 1636
1752 3340 1459 1633
1753 3339 1460 1630
1754 3338 1461 1627
1755 3337 1462 1625
1756 3337 1462 1622
1757 3336 1463 1619
1758 3335 1464 1616
1759 3334 1465 1613
1760 3334 1465 1610
1761 3333 1466 1608
1762 3332 1467 1605
1763 3331 1468 1602
1764 3330 1469 1599
1765 3330 1469 1596
1766 3329 1470 1594
1767 3328 1471 1591
1768 3327 1472 1588
1769 3326 1473 1585
1770 3325 1474 1582
1771 3325 1474 1580
1772 3324 1475 1577
1773 3323 1476 1574
1774 3322 1477 1571
1775 3321 1478 1568
1776 3320 1479 1566
1777 3320 1479 1563
1778 3319 1480 1560
1779 3318 1481 1557
1780 3317 1482 1554
1781 3316 1483 1552
1782 3315 1484 1549
1783 3315 1484 1546
1784 3314 1485 1543
1785 3313 1486 1541
1786 3312 1487 1538
1787 3311 1488 1535
1788 3310 1489 1532
1789 3309 1490 1530
1790 3308 1491 1527
1791 3308 1491 1524
1792 3307 1492 1521
1793 3306 1493 1519
1794 3305 1494 1516
1795 3304 1495 1513
1796 3303 1496 1510
1797 3302 1497 1508
1798 3301 1498 1505
1799 3300 1499 1502
1800 3300 1499 1500
1801 3300 1502 1499
1802 3301 1505 1498
1803 3302 1508 1497
1804 3303 1510 1496
1805 3304 1513 1495
1806 3305 1516 1494
1807 3306 1519 1493
1808 3307 1521 1492
1809 3308 1524 1491
1810 3308 1527 1491
1811 3309 1530 1490
1812 3310 1532 1489
1813 3311 1535 1488
1814 3312 1538 1487
1815 3313 1541 1486
1816 3314 1543 1485
1817 3315 1546 1484
1818 3315 1549 1484
1819 3316 1552 1483
1820 3317 1554 1482
1821 3318 1557 1481
1822 3319 1560 1480
1823 3320 1563 1479
1824 3320 1566 1479
1825 3321 1568 1478
1826 3322 1571 1477
1827 3323 1574 1476
1828 3324 1577 1475
1829 3325 1580 1474
1830 3325 1582 1474
1831 3326 1585 1473
1832 3327 1588 1472
1833 3328 1591 1471
1834 3329 1594 1470
1835 3330 1596 1469
1836 3330 1599 1469
1837 3331 1602 1468
1838 3332 1605 1467
1839 3333 1608 1466
1840 3334 1610 1465
1841 3334 1613 1465
1842 3335 1616 1464
1843 3336 1619 1463
1844 3337 1622 1462
1845 3337 1625 1462
1846 3338 1627 1461
1847 3339 1630 1460
1848 3340 1633 1459
1849 3341 1636 1458
1850 3341 1639 1458
1851 3342 1642 1457
1852 3343 1644 1456
1853 3344 1647 1455
1854 3344 1650 1455
1855 3345 1653 1454
1856 3346 1656 1453
1857 3347 1659 1452
1858 3347 1662 1452
1859 3348 1665 1451
1860 3349 1667 1450
1861 3350 1670 1449
1862 3350 1673 1449
1863 3351 1676 1448
1864 3352 1679 1447
1865 3353 1682 1446
1866 3353 1685 1446
1867 3354 1688 1445
1868 3355 1690 1444
1869 3355 1693 1444
1870 3356 1696 1443
1871 3357 1699 1442
1872 3358 1702 1441
1873 3358 1705 1441
1874 3359 1708 1440
1875 3360 1711 1439
1876 3360 1714 1439
1877 3361 1716 1438
1878 3362 1719 1437
1879 3362 1722 1437
1880 3363 1725 1436
1881 3364 1728 1435
1882 3364 1731 1435
1883 3365 1734 1434
1884 3366 1737 1433
1885 3366 1740 1433
1886 3367 1743 1432
1887 3368 1746 1431
1888 3368 1749 1431
1889 3369 1752 1430
1890 3370 1754 1429
1891 3370 1757 1429
1892 3371 1760 1428
1893 3372 1763 1427
1894 3372 1766 1427
1895 3373 1769 1426
1896 3374 1772 1425
1897 3374 1775 1425
1898 3375 1778 1424
1899 3375 1781 1424
1900 3376 1784 1423
1901 3377 1787 1422
1902 3377 1790 1422
1903 3378 1793 1421
1904 3379 1796 1420
1905 3379 1799 1420
1906 3380 1802 1419
1907 3380 1805 1419
1908 3381 1808 1418
1909 3382 1811 1417
1910 3382 1813 1417
1911 3383 1816 1416
1912 3383 1819 1416
1913 3384 1822 1415
1914 3384 1825 1415
1915 3385 1828 1414
1916 3386 1831 1413
1917 3386 1834 1413
1918 3387 1837 1412
1919 3387 1840 1412
1920 3388 1843 1411
1921 3388 1846 1411
1922 3389 1849 1410
1923 3390 1852 1409
1924 3390 1855 1409
1925 3391 1858 1408
1926 3391 1861 1408
1927 3392 1864 1407
1928 3392 1867 1407
1929 3393 1870 1406
1930 3393 1873 1406
1931 3394 1876 1405
1932 3394 1879 1405
1933 3395 1882 1404
1934 3395 1885 1404
1935 3396 1888 1403
1936 3396 1891 1403
1937 3397 1894 1402
1938 3397 1897 1402
1939 3398 1900 1401
1940 3398 1903 1401
1941 3399 1906 1400
1942 3399 1909 1400
1943 3400 1912 1399
1944 3400 1915 1399
1945 3401 1918 1398
1946 3401 1921 1398
1947 3402 1925 1397
1948 3402 1928 1397
1949 3403 1931 1396
1950 3403 1934 1396
1951 3404 1937 1395
1952 3404 1940 1395
1953 3405 1943 1394
1954 3405 1946 1394
1955 3406 1949 1393
1956 3406 1952 1393
1957 3407 1955 1392
1958 3407 1958 1392
1959 3407 1961 1392
1960 3408 1964 1391
1961 3408 1967 1391
1962 3409 1970 1390
1963 3409 1973 1390
1964 3410 1976 1389
1965 3410 1979 1389
1966 3410 1982 1389
1967 3411 1985 1388
1968 3411 1988 1388
1969 3412 1992 1387
1970 3412 1995 1387
1971 3413 1998 1386
1972 3413 2001 1386
1973 3413 2004 1386
1974 3414 2007 1385
1975 3414 2010 1385
1976 3414 2013 1385
1977 3415 2016 1384
1978 3415 2019 1384
1979 3416 2022 1383
1980 3416 2025 1383
1981 3416 2028 1383
1982 3417 2031 1382
1983 3417 2034 1382
1984 3418 2038 1381
1985 3418 2041 1381
1986 3418 2044 1381
1987 3419 2047 1380
1988 3419 2050 1380
1989 3419 2053 1380
1990 3420 2056 1379
1991 3420 2059 1379
1992 3420 2062 1379
1993 3421 2065 1378
1994 3421 2068 1378
1995 3421 2071 1378
1996 3422 2075 1377
1997 3422 2078 1377
1998 3422 2081 1377
1999 3423 2084 1376
2000 3423 2087 1376
2001 3423 2090 1376
2002 3424 2093 1375
2003 3424 2096 1375
2004 3424 2099 1375
2005 3424 2102 1375
2006 3425 2106 1374
2007 3425 2109 1374
2008 3425 2112 1374
2009 3426 2115 1373
2010 3426 2118 1373
2011 3426 2121 1373
2012 3426 2124 1373
2013 3427 2127 1372
2014 3427 2130 1372
2015 3427 2133 1372
2016 3428 2137 1371
2017 3428 2140 1371
2018 3428 2143 1371
2019 3428 2146 1371
2020 3429 2149 1370
2021 3429 2152 1370
2022 3429 2155 1370
2023 3429 2158 1370
2024 3430 2161 1369
2025 3430 2165 1369
2026 3430 2168 1369
2027 3430 2171 1369
2028 3431 2174 1368
2029 3431 2177 1368
2030 3431 2180 1368
2031 3431 2183 1368
2032 3431 2186 1368
2033 3432 2189 1367
2034 3432 2193 1367
2035 3432 2196 1367
2036 3432 2199 1367
2037 3432 2202 1367
2038 3433 2205 1366
2039 3433 2208 1366
2040 3433 2211 1366
2041 3433 2214 1366
2042 3433 2218 1366
2043 3434 2221 1365
2044 3434 2224 1365
2045 3434 2227 1365
2046 3434 2230 1365
2047 3434 2233 1365
2048 3434 2236 1365
2049 3435 2239 1364
2050 3435 2243 1364
2051 3435 2246 1364
2052 3435 2249 1364
2053 3435 2252 1364
2054 3435 2255 1364
2055 3436 2258 1363
2056 3436 2261 1363
2057 3436 2265 1363
2058 3436 2268 1363
2059 3436 2271 1363
2060 3436 2274 1363
2061 3436 2277 1363
2062 3436 2280 1363
2063 3437 2283 1362
2064 3437 2286 1362
2065 3437 2290 1362
2066 3437 2293 1362
2067 3437 2296 1362
2068 3437 2299 1362
2069 3437 2302 1362
2070 3437 2305 1362
2071 3437 2308 1362
2072 3437 2312 1362
2073 3438 2315 1361
2074 3438 2318 1361
2075 3438 2321 1361
2076 3438 2324 1361
2077 3438 2327 1361
2078 3438 2330 1361
2079 3438 2334 1361
2080 3438 2337 1361
2081 3438 2340 1361
2082 3438 2343 1361
2083 3438 2346 1361
2084 3438 2349 1361
2085 3438 2352 1361
2086 3438 2356 1361
2087 3438 2359 1361
2088 3439 2362 1360
2089 3439 2365 1360
2090 3439 2368 1360
2091 3439 2371 1360
2092 3439 2374 1360
2093 3439 2378 1360
2094 3439 2381 1360
2095 3439 2384 1360
2096 3439 2387 1360
2097 3439 2390 1360
2098 3439 2393 1360
2099 3439 2396 1360
2100 3439 2399 1360
2101 3439 2403 1360
2102 3439 2406 1360
2103 3439 2409 1360
2104 3439 2412 1360
2105 3439 2415 1360
2106 3439 2418 1360
2107 3439 2421 1360
2108 3439 2425 1360
2109 3439 2428 1360
2110 3439 2431 1360
2111 3439 2434 1360
2112 3439 2437 1360
2113 3438 2440 1361
2114 3438 2443 1361
2115 3438 2447 1361
2116 3438 2450 1361
2117 3438 2453 1361
2118 3438 2456 1361
2119 3438 2459 1361
2120 3438 2462 1361
2121 3438 2465 1361
2122 3438 2469 1361
2123 3438 2472 1361
2124 3438 2475 1361
2125 3438 2478 1361
2126 3438 2481 1361
2127 3438 2484 1361
2128 3437 2487 1362
2129 3437 2491 1362
2130 3437 2494 1362
2131 3437 2497 1362
2132 3437 2500 1362
2133 3437 2503 1362
2134 3437 2506 1362
2135 3437 2509 1362
2136 3437 2513 1362
2137 3437 2516 1362
2138 3436 2519 1363
2139 3436 2522 1363
2140 3436 2525 1363
2141 3436 2528 1363
2142 3436 2531 1363
2143 3436 2534 1363
2144 3436 2538 1363
2145 3436 2541 1363
2146 3435 2544 1364
2147 3435 2547 1364
2148 3435 2550 1364
2149 3435 2553 1364
2150 3435 2556 1364
2151 3435 2560 1364
2152 3434 2563 1365
2153 3434 2566 1365
2154 3434 2569 1365
2155 3434 2572 1365
2156 3434 2575 1365
2157 3434 2578 1365
2158 3433 2581 1366
2159 3433 2585 1366
2160 3433 2588 1366
2161 3433 2591 1366
2162 3433 2594 1366
2163 3432 2597 1367
2164 3432 2600 1367
2165 3432 2603 1367
2166 3432 2606 1367
2167 3432 2610 1367
2168 3431 2613 1368
2169 3431 2616 1368
2170 3431 2619 1368
2171 3431 2622 1368
2172 3431 2625 1368
2173 3430 2628 1369
2174 3430 2631 1369
2175 3430 2634 1369
2176 3430 2638 1369
2177 3429 2641 1370
2178 3429 2644 1370
2179 3429 2647 1370
2180 3429 2650 1370
2181 3428 2653 1371
2182 3428 2656 1371
2183 3428 2659 1371
2184 3428 2662 1371
2185 3427 2666 1372
2186 3427 2669 1372
2187 3427 2672 1372
2188 3426 2675 1373
2189 3426 2678 1373
2190 3426 2681 1373
2191 3426 2684 1373
2192 3425 2687 1374
2193 3425 2690 1374
2194 3425 2693 1374
2195 3424 2697 1375
2196 3424 2700 1375
2197 3424 2703 1375
2198 3424 2706 1375
2199 3423 2709 1376
2200 3423 2712 1376
2201 3423 2715 1376
2202 3422 2718 1377
2203 3422 2721 1377
2204 3422 2724 1377
2205 3421 2728 1378
2206 3421 2731 1378
2207 3421 2734 1378
2208 3420 2737 1379
2209 3420 2740 1379
2210 3420 2743 1379
2211 3419 2746 1380
2212 3419 2749 1380
2213 3419 2752 1380
2214 3418 2755 1381
2215 3418 2758 1381
2216 3418 2761 1381
2217 3417 2765 1382
2218 3417 2768 1382
2219 3416 2771 1383
2220 3416 2774 1383
2221 3416 2777 1383
2222 3415 2780 1384
2223 3415 2783 1384
2224 3414 2786 1385
2225 3414 2789 1385
2226 3414 2792 1385
2227 3413 2795 1386
2228 3413 2798 1386
2229 3413 2801 1386
2230 3412 2804 1387
2231 3412 2807 1387
2232 3411 2811 1388
2233 3411 2814 1388
2234 3410 2817 1389
2235 3410 2820 1389
2236 3410 2823 1389
2237 3409 2826 1390
2238 3409 2829 1390
2239 3408 2832 1391
2240 3408 2835 1391
2241 3407 2838 1392
2242 3407 2841 1392
2243 3407 2844 1392
2244 3406 2847 1393
2245 3406 2850 1393
2246 3405 2853 1394
2247 3405 2856 1394
2248 3404 2859 1395
2249 3404 2862 1395
2250 3403 2865 1396
2251 3403 2868 1396
2252 3402 2871 1397
2253 3402 2874 1397
2254 3401 2877 1398
2255 3401 2881 1398
2256 3400 2884 1399
2257 3400 2887 1399
2258 3399 2890 1400
2259 3399 2893 1400
2260 3398 2896 1401
2261 3398 2899 1401
2262 3397 2902 1402
2263 3397 2905 1402
2264 3396 2908 1403
2265 3396 2911 1403
2266 3395 2914 1404
2267 3395 2917 1404
2268 3394 2920 1405
2269 3394 2923 1405
2270 3393 2926 1406
2271 3393 2929 1406
2272 3392 2932 1407
2273 3392 2935 1407
2274 3391 2938 1408
2275 3391 2941 1408
2276 3390 2944 1409
2277 3390 2947 1409
2278 3389 2950 1410
2279 3388 2953 1411
2280 3388 2956 1411
2281 3387 2959 1412
2282 3387 2962 1412
2283 3386 2965 1413
2284 3386 2968 1413
2285 3385 2971 1414
2286 3384 2974 1415
2287 3384 2977 1415
2288 3383 2980 1416
2289 3383 2983 1416
2290 3382 2986 1417
2291 3382 2988 1417
2292 3381 2991 1418
2293 3380 2994 1419
2294 3380 2997 1419
2295 3379 3000 1420
2296 3379 3003 1420
2297 3378 3006 1421
2298 3377 3009 1422
2299 3377 3012 1422
2300 3376 3015 1423
2301 3375 3018 1424
2302 3375 3021 1424
2303 3374 3024 1425
2304 3374 3027 1425
2305 3373 3030 1426
2306 3372 3033 1427
2307 3372 3036 1427
2308 3371 3039 1428
2309 3370 3042 1429
2310 3370 3045 1429
2311 3369 3047 1430
2312 3368 3050 1431
2313 3368 3053 1431
2314 3367 3056 1432
2315 3366 3059 1433
2316 3366 3062 1433
2317 3365 3065 1434
2318 3364 3068 1435
2319 3364 3071 1435
2320 3363 3074 1436
2321 3362 3077 1437
2322 3362 3080 1437
2323 3361 3083 1438
2324 3360 3085 1439
2325 3360 3088 1439
2326 3359 3091 1440
2327 3358 3094 1441
2328 3358 3097 1441
2329 3357 3100 1442
2330 3356 3103 1443
2331 3355 3106 1444
2332 3355 3109 1444
2333 3354 3111 1445
2334 3353 3114 1446
2335 3353 3117 1446
2336 3352 3120 1447
2337 3351 3123 1448
2338 3350 3126 1449
2339 3350 3129 1449
2340 3349 3132 1450
2341 3348 3134 1451
2342 3347 3137 1452
2343 3347 3140 1452
2344 3346 3143 1453
2345 3345 3146 1454
2346 3344 3149 1455
2347 3344 3152 1455
2348 3343 3155 1456
2349 3342 3157 1457
2350 3341 3160 1458
2351 3341 3163 1458
2352 3340 3166 1459
2353 3339 3169 1460
2354 3338 3172 1461
2355 3337 3174 1462
2356 3337 3177 1462
2357 3336 3180 1463
2358 3335 3183 1464
2359 3334 3186 1465
2360 3334 3189 1465
2361 3333 3191 1466
2362 3332 3194 1467
2363 3331 3197 1468
2364 3330 3200 1469
2365 3330 3203 1469
2366 3329 3205 1470
2367 3328 3208 1471
2368 3327 3211 1472
2369 3326 3214 1473
2370 3325 3217 1474
2371 3325 3219 1474
2372 3324 3222 1475
2373 3323 3225 1476
2374 3322 3228 1477
2375 3321 3231 1478
2376 3320 3233 1479
2377 3320 3236 1479
2378 3319 3239 1480
2379 3318 3242 1481
2380 3317 3245 1482
2381 3316 3247 1483
2382 3315 3250 1484
2383 3315 3253 1484
2384 3314 3256 1485
2385 3313 3258 1486
2386 3312 3261 1487
2387 3311 3264 1488
2388 3310 3267 1489
2389 3309 3269 1490
2390 3308 3272 1491
2391 3308 3275 1491
2392 3307 3278 1492
2393 3306 3280 1493
2394 3305 3283 1494
2395 3304 3286 1495
2396 3303 3289 1496
2397 3302 3291 1497
2398 3301 3294 1498
